1,5,1,1534,12/25/2007,1/8/2008
1,10,1,3055,12/30/2007,1/13/2008
2,4,1,1235,12/28/2007,1/11/2008
2,9,1,2756,12/22/2007,1/5/2008
3,3,1,936,12/29/2007,1/12/2008
3,8,1,2457,12/28/2007,1/11/2008
4,2,1,637,12/28/2007,1/11/2008
4,7,1,2158,1/1/2008,1/15/2008
5,1,1,338,12/25/2007,1/8/2008
5,6,1,1859,1/3/2008,1/17/2008
6,5,1,1560,1/3/2008,1/17/2008
6,10,1,3094,1/1/2008,1/15/2008
7,4,1,1261,1/1/2008,1/15/2008
7,9,1,2795,1/4/2008,1/18/2008
8,3,1,962,12/28/2007,1/11/2008
8,8,1,2496,12/20/2007,1/3/2008
9,2,1,663,12/22/2007,1/5/2008
9,7,1,2197,1/4/2008,1/18/2008
10,1,1,364,12/30/2007,1/13/2008
10,6,1,1898,1/1/2008,1/15/2008
11,5,2,1599,12/27/2007,1/10/2008
11,10,2,3120,1/3/2008,1/17/2008
12,4,2,1300,12/20/2007,1/3/2008
12,9,2,2821,1/1/2008,1/15/2008
13,3,2,1001,12/27/2007,1/10/2008
13,8,2,2522,12/28/2007,1/11/2008
14,2,2,702,1/1/2008,1/15/2008
14,7,2,2223,12/22/2007,1/5/2008
15,1,2,403,1/4/2008,1/18/2008
15,6,2,1924,12/30/2007,1/13/2008
16,5,2,1625,12/20/2007,1/3/2008
16,10,2,3159,12/20/2007,1/3/2008
17,4,2,1326,12/24/2007,1/7/2008
17,9,2,2860,12/29/2007,1/12/2008
18,3,2,1027,12/26/2007,1/9/2008
18,8,2,2561,12/20/2007,1/3/2008
19,2,2,728,12/26/2007,1/9/2008
19,7,2,2262,12/25/2007,1/8/2008
20,1,2,429,12/24/2007,1/7/2008
20,6,2,1963,12/28/2007,1/11/2008
21,5,3,1664,12/29/2007,1/12/2008
21,10,3,3185,12/22/2007,1/5/2008
22,4,3,1365,12/28/2007,1/11/2008
22,9,3,2886,12/26/2007,1/9/2008
23,3,3,1066,12/25/2007,1/8/2008
23,8,3,2587,12/28/2007,1/11/2008
24,2,3,767,12/20/2007,1/3/2008
24,7,3,2288,12/28/2007,1/11/2008
25,1,3,468,12/29/2007,1/12/2008
25,6,3,1989,12/26/2007,1/9/2008
26,5,3,1690,12/22/2007,1/5/2008
26,10,3,3224,12/24/2007,1/7/2008
27,4,3,1391,1/1/2008,1/15/2008
27,9,3,2925,12/23/2007,1/6/2008
28,3,3,1092,12/24/2007,1/7/2008
28,8,3,2626,12/20/2007,1/3/2008
29,2,3,793,12/30/2007,1/13/2008
29,7,3,2327,12/31/2007,1/14/2008
30,1,3,494,1/3/2008,1/17/2008
30,6,3,2028,12/24/2007,1/7/2008
31,5,4,1729,12/31/2007,1/14/2008
31,10,4,3250,12/26/2007,1/9/2008
32,4,4,1430,12/20/2007,1/3/2008
32,9,4,2951,12/20/2007,1/3/2008
33,3,4,1131,12/23/2007,1/6/2008
33,8,4,2652,12/28/2007,1/11/2008
34,2,4,832,12/24/2007,1/7/2008
34,7,4,2353,1/3/2008,1/17/2008
35,1,4,533,12/23/2007,1/6/2008
35,6,4,2054,12/22/2007,1/5/2008
36,5,4,1755,12/24/2007,1/7/2008
36,10,4,3289,12/28/2007,1/11/2008
37,4,4,1456,12/24/2007,1/7/2008
37,9,4,2990,1/2/2008,1/16/2008
38,3,4,1157,12/22/2007,1/5/2008
38,8,4,2691,12/20/2007,1/3/2008
39,2,4,858,1/3/2008,1/17/2008
39,7,4,2392,12/21/2007,1/4/2008
40,1,4,559,12/28/2007,1/11/2008
40,6,4,2093,12/20/2007,1/3/2008
41,5,5,1794,1/2/2008,1/16/2008
41,10,5,3315,12/30/2007,1/13/2008
42,4,5,1495,12/28/2007,1/11/2008
42,9,5,3016,12/30/2007,1/13/2008
43,3,5,1196,12/21/2007,1/4/2008
43,8,5,2717,12/28/2007,1/11/2008
44,2,5,897,12/28/2007,1/11/2008
44,7,5,2418,12/24/2007,1/7/2008
45,1,5,598,1/2/2008,1/16/2008
45,6,5,2119,1/3/2008,1/17/2008
46,5,5,1820,12/26/2007,1/9/2008
46,10,5,3354,1/1/2008,1/15/2008
47,4,5,1521,1/1/2008,1/15/2008
47,9,5,3055,12/27/2007,1/10/2008
48,3,5,1222,12/20/2007,1/3/2008
48,8,5,2756,12/20/2007,1/3/2008
49,2,5,923,12/22/2007,1/5/2008
49,7,5,2457,12/27/2007,1/10/2008
50,1,5,624,12/22/2007,1/5/2008
50,6,5,2158,1/1/2008,1/15/2008
51,5,6,1859,1/4/2008,1/18/2008
51,10,6,3380,1/3/2008,1/17/2008
52,4,6,1560,12/20/2007,1/3/2008
52,9,6,3081,12/24/2007,1/7/2008
53,3,6,1261,1/4/2008,1/18/2008
53,8,6,2782,12/28/2007,1/11/2008
54,2,6,962,1/1/2008,1/15/2008
54,7,6,2483,12/30/2007,1/13/2008
55,1,6,663,12/27/2007,1/10/2008
55,6,6,2184,12/30/2007,1/13/2008
56,5,6,1885,12/28/2007,1/11/2008
56,10,6,3419,12/20/2007,1/3/2008
57,4,6,1586,12/24/2007,1/7/2008
57,9,6,3120,12/21/2007,1/4/2008
58,3,6,1287,1/3/2008,1/17/2008
58,8,6,2821,12/20/2007,1/3/2008
59,2,6,988,12/26/2007,1/9/2008
59,7,6,2522,1/2/2008,1/16/2008
60,1,6,689,1/1/2008,1/15/2008
